user
stacked
"(u'FL0001', u""'Stacked' imported but unused"", u'pyflakes', 19, u'stacked/__init__.py')"
makeenv
"(u'E265', u""block comment should start with '# '"", u'pep8', 126, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 122, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 119, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 241, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 107, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 101, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 228, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 97, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 222, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 93, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 219, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 90, u'doc/conf.py')"
"(u'C0330', u""Wrong hanging indentation.\n  ('index', 'makeenv', u'makeenv Documentation',\n  ^ |"", u'pylint', 250, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 216, u'doc/conf.py')"
"(u'C0330', u'Wrong hanging indentation.\n# Additional stuff for the LaTeX preamble.\n^   |', u'pylint', 199, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 212, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 83, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 81, u'doc/conf.py')"
"(u'C0330', u""Wrong hanging indentation.\n  ('index', 'makeenv.tex', u'makeenv Documentation',\n  ^ |"", u'pylint', 206, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 77, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 200, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 225, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 197, u'doc/conf.py')"
"(u'C0330', u""Wrong hanging indentation.\n# The font size ('10pt', '11pt' or '12pt').\n^   |"", u'pylint', 196, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 194, u'doc/conf.py')"
"(u'C0330', u""Wrong hanging indentation.\n# The paper size ('letterpaper' or 'a4paper').\n^   |"", u'pylint', 193, u'doc/conf.py')"
"(u'W0622', u""Redefining built-in 'copyright'"", u'pylint', 63, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 56, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 181, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 50, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 176, u'doc/conf.py')"
"(u'E501', u'line too long (202 > 159 characters)', u'pep8', 47, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 173, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 43, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 170, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 167, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 38, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 164, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 161, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 158, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 184, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 154, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 151, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 147, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 143, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 138, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 262, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 133, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 259, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 129, u'doc/conf.py')"
"(u'E265', u""block comment should start with '# '"", u'pep8', 256, u'doc/conf.py')"
